Time,Acc1_X,Acc1_Y,Acc1_Z,Acc2_X,Acc2_Y,Acc2_Z,Acc3_X,Acc3_Y,Acc3_Z,AccF1_X,AccF1_Y,AccF1_Z,AccF2_X,AccF2_Y,AccF2_Z,AccF3_X,AccF3_Y,AccF3_Z,Vel1_X,Vel1_Y,Vel1_Z,Vel2_X,Vel2_Y,Vel2_Z,Vel3_X,Vel3_Y,Vel3_Z,Pos1_X,Pos1_Y,Pos1_Z,Pos2_X,Pos2_Y,Pos2_Z,Pos3_X,Pos3_Y,Pos3_Z
16.06,0.003303333976293344,-0.040683166313038664,-1.3256447367086654,-0.19593382051169278,-0.5261342653267167,-0.8718329386005141,-0.2220282504943609,-0.01737051753237935,-0.925203610619344,-0.11690639427344489,-0.10091758736168645,-1.17347912977455,-0.24202940057056313,-0.21672622235837113,-1.0561541711505291,0.08430380207462994,-0.011355774938663495,-1.0674096961332848,-0.02154070904510815,-0.04256854759423176,0.027994150053318102,0.018797418855579853,0.0282706999538588,-0.018243788964970566,0.020012278913417374,0.018102160797738794,0.002733624373781697,0.23821709904279847,0.03217838972327043,0.022159226222202958,0.2782033364870818,0.03382711676705556,0.554838468101544,-0.03499130628475656,0.010513210459609379,1.0486531395131025
16.12,-0.09946060100752077,-0.5467033305541363,-1.4003653299079628,-0.13756075441858553,-0.3501162258442506,-0.8613336561660454,0.3669311982727328,0.19483694993549935,-1.0943034582207845,-0.14678709301216158,-0.15842234218034287,-1.094949260881912,-0.19395371365340242,-0.12684929498730674,-1.0861891890813704,0.10542079479913347,0.004722171943994707,-1.0505433276714509,-0.01760098871930504,-0.03388337170162788,0.045995788171882795,0.028152245075369352,0.05266081370226435,-0.01767495602827132,0.012519547877667733,0.009484883657999679,0.0097657692422018,0.24856926592559847,0.052100909730002906,-0.014448732780682025,0.26154751667765963,0.0026892588744287203,0.5652440988622829,-0.03499130628475656,0.010513210459609379,1.0486531395131025
16.18,-0.46447080317579853,0.10854105825331084,-1.1655838501242544,-0.295376795903327,-0.00811213129332121,-1.431533004079111,0.14419204469356658,0.11544838493657612,-0.9714835689102644,-0.1537735688070681,-0.1801327535904352,-1.0127415654812209,-0.13790915641460255,-0.01552231136280893,-1.1026392453549434,0.10707088523562716,-0.0007377800486935262,-1.0238594961160115,-0.004076860943162626,-0.012827264496832939,0.04848106153361009,0.03304295999586539,0.06569879822326194,-0.009677195188137443,0.0010055127114928413,-0.003191816703401353,0.015766227835878447,0.24856926592559847,0.052100909730002906,-0.042929585563942455,0.24213088206406053,-0.035879970149197554,0.5652440988622829,-0.03499130628475656,0.010513210459609379,1.0320398784235532
16.24,-0.18559000959083133,-0.27257450527495725,-0.5781517857917482,-0.029209900295613867,0.2962941037823039,-1.2237060863575704,0.03010684794606962,-0.21679346389502827,-1.14236341490751,-0.12799507163430568,-0.15354346903451935,-0.9645810666769892,-0.08426955029014924,0.08099372571833138,-1.0942014102502062,0.08788060027085702,-0.026360111273662876,-0.9907866721137945,0.015179481679575363,0.015671178756844217,0.02837841472794151,0.03161646678319144,0.05686266767881164,0.004973554979402238,-0.011319936592914331,-0.015079248854744846,0.019525985174862582,0.24856926592559847,0.052100909730002906,-0.05961478844824983,0.2235474426678265,-0.06931794733531968,0.5652440988622829,-0.03499130628475656,0.010513210459609379,1.020581799870897
16.3,-0.19990147371951766,-0.19044581054573473,-0.500369657403747,-0.03405468585150688,0.18963451402320428,-1.094476600692193,0.002710101250372131,-0.022306809353782417,-0.9889868864690102,-0.07321157860818815,-0.07873230194834613,-0.9801581511515545,-0.04370136663433318,0.12538989663487915,-1.0584594314084599,0.05183279216053844,-0.0641724061627785,-0.9571817829056146,0.032183694815929184,0.04413841929554029,-0.009533083378452961,0.023719839118331178,0.025549173907074077,0.021091085012550043,-0.021310333948489177,-0.022289868208924334,0.019612036604497955,0.22307903190336248,0.024492298479229326,-0.05961478844824983,0.209492597062997,-0.08469899897351016,0.5652440988622829,-0.02374172619885965,0.028811530234539046,1.0089393873489192
16.36,0.08923474253174313,-0.051420891607541284,-0.930802370340546,0.07332852317062304,0.24723717476119186,-0.9237406059634486,0.06659489470723676,-0.12450481502461813,-0.8610247795706102,-0.006941707701122853,0.029847047049905907,-1.0632172542043068,-0.024183655851987014,0.09555322415989853,-1.0045396269528797,0.006312884953652556,-0.10404284773373434,-0.9316402122331284,0.039043764927903374,0.0637892608423949,-0.048530778987207035,0.011617276978075549,-0.016974745277270872,0.03164467919236667,-0.026676077958251408,-0.023431863479907222,0.015165826471282421,0.2001198377784028,-0.013125012638043991,-0.025442285224856188,0.209492597062997,-0.07436208498801924,0.5369566113288483,-0.007971356167829128,0.04262464312198008,1.0089393873489192
16.42,0.13031829920819357,0.18317506456450647,-1.338082223412774,-0.010046063501643884,0.21165100895337696,-0.8827247175745894,-0.046691342416273145,-0.20899477847200135,-0.8914825298988228,0.04723236032452602,0.14444870666228282,-1.1869319094234927,-0.027876462580916837,-0.004906316476607497,-0.9487308519891781,-0.04017718393838197,-0.13753237445167213,-0.9229957594382528,0.031964381009616724,0.06727927242968866,-0.07217712031804555,-0.0019220488665191164,-0.058093708339524326,0.03271115190305236,-0.02716682343857289,-0.019644369309531028,0.00535482873270616,0.18135123407788026,-0.052828753026683904,0.01741865212724274,0.209492597062997,-0.03955788115288483,0.5176216634750258,0.008135126340212795,0.05422708831382807,0.9970956408860921
16.48,0.3060745547336371,-0.011658994896499585,-1.5705675518049549,-0.03366359379480894,0.056469646653408964,-0.8166871747858278,-0.11057328331298606,-0.12324028811428304,-0.8786269859291227,0.0709350221043128,0.22971209438070217,-1.3069127388293853,-0.05000891493448262,-0.14567436799484196,-0.9069119436636679,-0.07968071400472528,-0.1595919832452623,-0.9362517127450176,0.01363285382568198,0.050886839568241186,-0.07279790303210074,-0.013911442424017827,-0.08669694352179687,0.025137628578789498,-0.024008308791459487,-0.013234945434649379,-0.008761140648401092,0.18135123407788026,-0.08236825029119352,0.058986005675679284,0.209492597062997,0.009211204664883357,0.5031335043584098,0.02182112275155565,0.05422708831382807,0.9970956408860921
16.54,0.12857832921302642,0.37171808106716453,-1.7894673177972633,-0.08546418213138074,-0.586105391903511,-0.9187362750834681,-0.12668593051284915,-0.14897941564937833,-0.9114580674517416,0.05980483221757921,0.2536059258934754,-1.3833411971713092,-0.08086050580215784,-0.2798721582247627,-0.8887103078108359,-0.10627831909376796,-0.16832776064542387,-0.9696353777497966,-0.007198379486233589,0.015409429625889117,-0.04946729153029274,-0.019960915701999444,-0.086800245799187,0.011781203043650861,-0.01720721435752435,-0.005660339067937923,-0.021601029079611582,0.18135123407788026,-0.09363555116954096,0.09502637179889178,0.2262261271603944,0.07249309727057768,0.5031335043584098,0.0343634066887929,0.06598905492053522,1.017430462625438
16.61,-0.06376928579924829,1.0964268928104133,-1.339134626133891,-0.2748078152756618,-0.8622410379186572,-0.8751691591871678,-0.1300586277382078,-0.12048900777297691,-1.1027090062009732,0.025080227377695004,0.20219814378747855,-1.3982741721753047,-0.11007814125753554,-0.363495946540282,-0.8956378818044068,-0.11737163455371212,-0.16362346045480336,-1.0145617872721058,-0.020754922152412623,-0.029627400721785862,-0.011003907872706751,-0.018076387866623633,-0.053047545325768955,-0.003546484736946006,-0.007297632263140878,0.0025168632159282183,-0.02739611767111077,0.18135123407788026,-0.07582532711522828,0.09502637179889178,0.23634857579520535,0.10146455538754001,0.5031335043584098,0.0343634066887929,0.06598905492053522,1.032995215407387
